# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=2.09386e-07 to 33.2194 h/Mpc,
# number of wavenumbers equal to 144
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       3.318538826439e-05      -1.551002494457e+00      -1.163251875742e+00      -1.163251875785e+00      -1.551002493674e+00      -1.174426315085e+00       6.122845216691e-01       5.968083706266e-01       1.510893428759e-07       1.511042407705e-07       1.511042542848e-07       1.510883646112e-07       1.511036694989e-07 
       4.177792858629e-05      -1.551092362507e+00      -1.163319284185e+00      -1.163319284291e+00      -1.551092360540e+00      -1.174494370821e+00       6.122826093153e-01       5.968070955947e-01       2.394462905876e-07       2.394837083878e-07       2.394837422957e-07       2.394438335664e-07       2.394822735444e-07 
       5.259529594940e-05      -1.551234784015e+00      -1.163426118916e+00      -1.163426119182e+00      -1.551234779075e+00      -1.174602231210e+00       6.122795784908e-01       5.968050748169e-01       3.794611780438e-07       3.795551592821e-07       3.795552443928e-07       3.794550070591e-07       3.795515553855e-07 
       6.621355461154e-05      -1.551460482065e+00      -1.163595439173e+00      -1.163595439840e+00      -1.551460469657e+00      -1.174773176437e+00       6.122747751711e-01       5.968018722149e-01       6.013159766091e-07       6.015520274276e-07       6.015522411161e-07       6.013004783863e-07       6.015429755455e-07 
       8.335792650569e-05      -1.551818128647e+00      -1.163863791453e+00      -1.163863793129e+00      -1.551818097483e+00      -1.175044102660e+00       6.122671625487e-01       5.967967963395e-01       9.527969056228e-07       9.533897831489e-07       9.533903197568e-07       9.527579853178e-07       9.533670479776e-07 
       1.049414119525e-04      -1.552384805880e+00      -1.164289094100e+00      -1.164289098310e+00      -1.552384727615e+00      -1.175473481047e+00       6.122550981472e-01       5.967887518223e-01       1.509517029933e-06       1.511006081641e-06       1.511007429294e-06       1.509419303053e-06       1.510948981047e-06 
       1.321134102565e-04      -1.553282539173e+00      -1.164963134265e+00      -1.164963144839e+00      -1.553282342641e+00      -1.176153971555e+00       6.122359798109e-01       5.967760030593e-01       2.391006219929e-06       2.394745838968e-06       2.394749223674e-06       2.390760884826e-06       2.394602437649e-06 
       1.663209294107e-04      -1.554704374737e+00      -1.166031369783e+00      -1.166031396340e+00      -1.554703881298e+00      -1.177232406922e+00       6.122056848346e-01       5.967557994224e-01       3.785931649521e-06       3.795322403821e-06       3.795330904977e-06       3.785315964470e-06       3.794962308599e-06 
       2.093856445484e-04      -1.556955378595e+00      -1.167724290139e+00      -1.167724356845e+00      -1.556954140039e+00      -1.178941434555e+00       6.121576854353e-01       5.967237842154e-01       5.991366929534e-06       6.014944616468e-06       6.014965968330e-06       5.989822658176e-06       6.014040543500e-06 
       2.636009087869e-04      -1.560516827282e+00      -1.170407093911e+00      -1.170407261459e+00      -1.560513719761e+00      -1.181649620171e+00       6.120816475042e-01       5.966730557725e-01       9.473270361769e-06       9.532451998513e-06       9.532505626117e-06       9.469400304737e-06       9.530182835132e-06 
       3.318538826439e-04      -1.566145907127e+00      -1.174658308867e+00      -1.174658729703e+00      -1.566138115662e+00      -1.185940695395e+00       6.119612271170e-01       5.965926885383e-01       1.495794223532e-05       1.510642967401e-05       1.510656436054e-05       1.494825675758e-05       1.510073680653e-05 
       4.177792858629e-04      -1.575028716050e+00      -1.181394169132e+00      -1.181395226140e+00      -1.575009201463e+00      -1.192738810271e+00       6.117706026735e-01       5.964653944319e-01       2.356603203017e-05       2.393833984378e-05       2.393867808763e-05       2.354184478282e-05       2.392406787014e-05 
       5.259529594940e-04      -1.589010201344e+00      -1.192065112029e+00      -1.192067766783e+00      -1.588961407913e+00      -1.203506121036e+00       6.114690591808e-01       5.962638476786e-01       3.699781806816e-05       3.793032921786e-05       3.793117856246e-05       3.693762354770e-05       3.789459028476e-05 
       6.621355461154e-04      -1.610927569578e+00      -1.208965694417e+00      -1.208972361597e+00      -1.610805897461e+00      -1.220553705301e+00       6.109925853270e-01       5.959449196313e-01       5.776025949453e-05       6.009197637681e-05       6.009410871441e-05       5.761127570390e-05       6.000264299485e-05 
       8.335792650569e-04      -1.645062426447e+00      -1.235721937933e+00      -1.235738680197e+00      -1.644760322224e+00      -1.247528709649e+00       6.102410264042e-01       5.954407114380e-01       8.936545079119e-05       9.518031911003e-05       9.518567087837e-05       8.899995194892e-05       9.495765990395e-05 
       1.049414119525e-03      -1.697672589742e+00      -1.278054218322e+00      -1.278096253440e+00      -1.696927595236e+00      -1.290172665413e+00       6.090588662491e-01       5.946447486479e-01       1.362626840850e-04       1.507027033452e-04       1.507161288763e-04       1.353787387793e-04       1.501502540118e-04 
       1.321134102565e-03      -1.777397052740e+00      -1.344962832666e+00      -1.345068342613e+00      -1.775579845761e+00      -1.357489928428e+00       6.072075622399e-01       5.933911145268e-01       2.028585282774e-04       2.384775892691e-04       2.385112434898e-04       2.007702860494e-04       2.371167379402e-04 
       1.663209294107e-03      -1.894898521663e+00      -1.450549207602e+00      -1.450813929224e+00      -1.890543046238e+00      -1.463520069612e+00       6.043284103931e-01       5.914238865234e-01       2.901072079251e-04       3.770377998944e-04       3.771220628146e-04       2.853643992992e-04       3.737237842342e-04 
       2.093856445484e-03      -2.060164414365e+00      -1.616762432687e+00      -1.617426166255e+00      -2.050017657568e+00      -1.629964305204e+00       5.998993119430e-01       5.883547871754e-01       3.866670585641e-04       5.952678221493e-04       5.954784125936e-04       3.766133508405e-04       5.873428869410e-04 
